,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
2082,48.3305065,31.51892949,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,місто,Новоукраїнка,вул.  Павлівська 57,так,Магазин,fcdec76e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2083,48.2402263,31.40976352,Кіровоградська,Новоукраїнський,Помічнянська,міська територіальна громада,місто,Помічна,вул. Перемоги 92Б,так,Магазин,0d75de2f,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2084,48.22031956,30.01432269,Кіровоградська,Голованівський,Заваллівська,селищна територіальна громада,селище міського типу,Завалля,вул.  Соборна 18,так,Магазин,8459ecea,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2085,48.3866331,30.4585083,Кіровоградська,Голованівський,Голованівська,селищна територіальна громада,селище міського типу, Голованівськ,вул.  Ринкова 1,так,Магазин,2adffe3b,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2086,48.32264158,30.22868979,Кіровоградська,Голованівський,Благовіщенська,міська територіальна громада,місто,Благовіщенське,вул.  Заводська 4А,так,Магазин,bfeb94e2,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2087,48.33831853,31.51134827,Кіровоградська,Новоукраїнський,Новоукраїнська,міська територіальна громада,місто, Новоукраїнка,вул. Академіка Курчатова 14 Б,так,Магазин,63de8082,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2088,51.2657571,26.0588473,Рівненська,Вараський,Полицька,сільська територіальна громада,село,Полиці,вул. Радянська 6,так,Магазин,8c7bb267,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2089,50.2791788,28.64166364,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,вул. Вільський шлях 14,так,Магазин,d08c9a28,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2090,50.47341797,28.82363659,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Головине,вул. Жовтнева 6,так,Магазин,ccd1a989,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2091,48.26548757,26.12474261,Чернівецька,Чернівецький,Боянська,сільська територіальна громада,місто,Бояни,вул. Головна 160,так,Магазин,e352b757,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2092,48.20507524,26.36881114,Чернівецька,Чернівецький,Ванчиковецька,сільська територіальна громада,місто,Тарасівці,вул. Головна 139А,так,Магазин,62bcee9e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2093,48.4219569,26.26343997,Чернівецька,Дністровський,Клішковецька,сільська територіальна громада,місто,Клішківці,вул. Головна 87,так,Магазин,7a9ed5d2,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2094,48.42126116,26.22012108,Чернівецька,Дністровський,Клішковецька,сільська територіальна громада,місто,Малинці,вул. Головна 6,так,Магазин,7bcf47cb,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2095,48.42216046,26.27672592,Чернівецька,Чернівецький,Клішковецька,сільська територіальна громада,село,Клішківці,вул. Головна 110,так,Магазин,9c080996,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2096,48.42376912,26.25073747,Чернівецька,Чернівецький,Клішковецька,сільська територіальна громада,село,Клішківці,вул. Головна,так,Магазин,7efd562e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2097,48.27176304,29.94079978,Кіровоградська,Голованівський,Побузька,селищна територіальна громада,село,Казавчин,вул.  Центральна 111,так,Магазин,2d51e730,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2098,48.41329191,29.96624383,Кіровоградська,Голованівський,Гайворонська,міська територіальна громада,село,Червоне,вул.  Центральна 3,так,Магазин,64bbd294,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2099,48.26282467,29.98439394,Кіровоградська,Голованівський,Заваллівська,селищна територіальна громада,селище міського типу,Салькове,вул.  Заводська 5,так,Магазин,23a6b9e1,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2100,48.28498325,30.02693703,Кіровоградська,Голованівський,Заваллівська,селищна територіальна громада,село,Могильне,вул.  Базарна 43,так,Магазин,3bae2232,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2101,46.58973816,30.80264684,Одеська,Одеський,Одеська,міська територіальна громада,місто,Одеса,вул. Махачкалінська 7а,так,Магазин,c64fe8ab,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2102,46.4507886,30.7438873,Одеська,Одеський,Одеська,міська територіальна громада,місто,Одеса,вул. Сегедська 7,так,Магазин,c8151354,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2103,46.4444988,30.7497455,Одеська,Одеський,Одеська,міська територіальна громада,місто,Одеса,вул. Маршала Говорова 10/5,так,Магазин,f63008a9,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2104,46.4789941,30.6931608,Одеська,Одеський,Одеська,міська територіальна громада,місто,Одеса,вул. Грушевського 30 б,так,Магазин,5053991e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2105,50.44985064,28.67176355,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Володимирська 14,так,Магазин,73dc73ce,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2106,50.14680208,27.93117034,Житомирська,Житомирський,Романівська,селищна територіальна громада,селище міського типу,Романів,вул. Небесної сотні 105/1,так,Магазин,e07ea575,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2107,50.47781888,28.86129711,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,село,Сліпчиці,вул. Миру 137,так,Магазин,88b9b981,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
